date,Month,city_name,category,item_id,item_name,qty_sold,mrp,,
09-11-2023,Nov,Chandigarh,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,9,3375,,
30-10-2023,Oct,Chandigarh,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
10-12-2023,Dec,Jalandhar,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),1,1049,,
23-12-2023,Dec,Gurgaon,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),18,18882,,
16-10-2023,Oct,Faridabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),2,2098,,
14-12-2023,Dec,Amritsar,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),2,3300,,
19-10-2023,Oct,Faridabad,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,4,1500,,
05-10-2023,Oct,Chandigarh,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,10,3750,,
04-12-2023,Dec,Kharar,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,2,750,,
23-11-2023,Nov,Delhi,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),6,9900,,
23-10-2023,Oct,Delhi,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,29,10875,,
20-10-2023,Oct,Faridabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),3,3147,,
09-10-2023,Oct,Faridabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
10-10-2023,Oct,Ghaziabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),8,8392,,
13-11-2023,Nov,Faridabad,"Dry Fruits, Masala & Oil",10049041,Jivo Pomace Olive Oil(Tin),1,4999,,
24-12-2023,Dec,Zirakpur,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,4,1500,,
06-12-2023,Dec,Ghaziabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),8,13200,,
